Symbol,Date,Open,High,Low,Close,Volume
PFE,2024-03-12,28.3100,28.3400,27.7600,28.0100,47397065
PFE,2024-03-11,27.3100,28.3900,27.3100,28.3700,51812519
XOM,2024-08-01,118.3600,119.4900,116.3600,116.9100,14728372
XOM,2024-07-31,119.6400,119.7600,118.5600,118.5900,15137710
XOM,2024-07-30,116.3600,118.5950,116.2300,118.1700,12483857
XOM,2024-07-29,117.3200,117.3900,115.3800,116.1000,8861806
XOM,2024-07-26,116.7700,118.0300,116.4700,117.3300,11252479
XOM,2024-07-25,115.1700,118.0300,114.5600,117.4300,17021698
XOM,2024-07-24,113.7650,115.2000,113.0650,115.0100,14925184
XOM,2024-07-23,114.8100,115.1700,113.1700,113.4100,11251733
XOM,2024-07-22,115.1800,115.9400,114.5800,115.2700,12065877
XOM,2024-07-19,118.5900,118.8793,115.8700,116.0700,16157707
XOM,2024-07-18,117.9500,119.9200,117.4350,118.8000,13033563
XOM,2024-07-17,116.7400,118.1750,116.5500,117.6400,13602766
XOM,2024-07-16,114.3500,116.3500,113.7100,116.0400,13614050
